LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
1;H. IRMAWAN, S.Sos., M.M.;Fraksi Partai Kebangkitan Bangsa;ACEH I;L;
2;H. RUSLAN M. DAUD, S.E., M.A.P.;Fraksi Partai Kebangkitan Bangsa;ACEH II;L;
3;H. ASHARI TAMBUNAN;Fraksi Partai Kebangkitan Bangsa;SUMATERA UTARA I;L;
4;H. MARWAN DASOPANG, M.Si.;Fraksi Partai Kebangkitan Bangsa;SUMATERA UTARA II;L;
5;RICO ALVIANO, S.T.;Fraksi Partai Kebangkitan Bangsa;SUMATERA BARAT I;L;
6;IYETH BUSTAMI;Fraksi Partai Kebangkitan Bangsa;RIAU I;P;
7;H. MAFIRION;Fraksi Partai Kebangkitan Bangsa;RIAU II;L;
8;ELPISINA, S.Sos., M.Si.;Fraksi Partai Kebangkitan Bangsa;JAMBI;L;
9;H. S. N. PRANA PUTRA SOHE;Fraksi Partai Kebangkitan Bangsa;SUMATERA SELATAN I;L;
10;BERTU MERLAS, S.T.;Fraksi Partai Kebangkitan Bangsa;SUMATERA SELATAN II;L;
11;Dr. H. MUHAMMAD KADAFI, S.H., M.H.;Fraksi Partai Kebangkitan Bangsa;LAMPUNG I;L;
12;Hj. CHUSNUNIA CHALIM, Ph.D.;Fraksi Partai Kebangkitan Bangsa;LAMPUNG II;P;
13;H. HASBIALLAH ILYAS, S.Ag.;Fraksi Partai Kebangkitan Bangsa;DKI JAKARTA I;L;
14;Dr. Hj. IDA FAUZIYAH, M.Si;Fraksi Partai Kebangkitan Bangsa;DKI JAKARTA II;P;
15;HABIB SYARIEF MUHAMMAD;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT I;L;
16;Dr. H. CUCUN AHMAD SYAMSURIJAL, M.A.P.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT II;L;
17;H. ASEP ROMY ROMAYA;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT II;L;
18;NENG EEM MARHAMAH ZULFA HIZ, S.Th.I., M.M.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT III;P;
19;ZAINUL MUNASICHIN, M.A.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT IV;L;
20;TOMMY KURNIAWAN, S.Kom.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT V;L;
21;H. SUDJATMIKO, S.T.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT VI;L;
22;H. SYAIFUL HUDA, S.I.Kom., M.K.P.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT VII;L;
23;H. DEDI WAHIDI;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT VIII;L;
24;Dr. K.H. MAMAN IMANUL HAQ, M.M.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT IX;L;
25;RINA SA'ADAH, Lc., M.Si;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT X;P;
26;IMAS AAN UBUDIAH, S.Pd.I.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT XI;P;
27;H. OLEH SOLEH, S.H.;Fraksi Partai Kebangkitan Bangsa;JAWA BARAT XI;L;
29;Dr. Hj. HINDUN ANISAH, M.A.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH II;P;
30;MARWAN JAFAR, Ph.D.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH III;L;
31;EVA MONALISA, S.I.Kom.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH III;P;
32;H. MOHAMMAD TOHA, M.Si.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH V;L;
33;ABDULLAH;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH VI;L;
34;Drs. H. TAUFIQ R. ABDULLAH, M.A.P.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH VII;L;
35;SITI MUKAROMAH, S.Ag., M.A.P.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH VIII;P;
36;EKA WIDODO, S.T.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH IX;L;
37;Dr. M. HANIF DHAKIRI, M.Si.;Fraksi Partai Kebangkitan Bangsa;JAWA TENGAH X;L;
38;KAISAR ABU HANIFAH;Fraksi Partai Kebangkitan Bangsa;DAERAH ISTIMEWA YOGYAKARTA;L;
39;Dr. Hj. ARZETI BILBINA SETYAWAN, S.E., M.A.P.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR I;P;
40;Dra. Hj. ANISAH SYAKUR, M.Ag.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR II;P;
41;H. MUHAMMAD HILMAN MUFIDI, S.E., S.H.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR II;L;
42;Dr. Hj. NIHAYATUL WAFIROH, M.A.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR III;P;
43;H. M. NASIM KHAN;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR III;L;
44;H. RIVQY ABDUL HALIM;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR IV;L;
45;H. MUHAMMAD KHOZIN, M.A.P;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR IV;L;
46;M. HASANUDDIN WAHID, S.Ag., M.Hum.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR V;L;
47;ALI AHMAD, S.H.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR V;L;
48;Dr. Hj. ANGGIA ERMA RINI, M.K.M.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR VI;P;
49;H. AN'IM FALACHUDDIN;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR VI;L;
50;H. A. IMAN SUKRI, M.Hum.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR VII;L;
51;RUSDI KIRANA, S.E.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR VIII;L;
52;Prof. Dr. (H.C). Drs. H. A. HALIM ISKANDAR, M.Pd.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR VIII;L;
53;DR. Hj. ANNA MU'AWANAH, S.E., M.H.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR IX;P;
54;Hj. RATNA JUWITA SARI, S.E., M.M.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR IX;P;
55;Dr. H. JAZILUL FAWAID, S.Q., M.A.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR X;L;
56;H. SYAFIUDDIN, S.Sos., M.H.;Fraksi Partai Kebangkitan Bangsa;JAWA TIMUR XI;L;
57;AHMAD FAUZI;Fraksi Partai Kebangkitan Bangsa;BANTEN I;L;
58;MOH. RANO ALFATH, S.H., M.H.;Fraksi Partai Kebangkitan Bangsa;BANTEN III;L;
59;Hj. MAHDALENA, S.S., M.M.;Fraksi Partai Kebangkitan Bangsa;NUSA TENGGARA BARAT I;P;
60;H. LALU HADRIAN IRFANI, S.T.;Fraksi Partai Kebangkitan Bangsa;NUSA TENGGARA BARAT II;L;
61;N.M. DIPO NUSANTARA PUA UPA, S.H., M.Kn.;Fraksi Partai Kebangkitan Bangsa;NUSA TENGGARA TIMUR I;L;
62;USMAN HUSIN;Fraksi Partai Kebangkitan Bangsa;NUSA TENGGARA TIMUR II;L;
63;Dr. DANIEL JOHAN, S.E., M.M.;Fraksi Partai Kebangkitan Bangsa;KALIMANTAN BARAT I;L;
64;SYAFRUDDIN;Fraksi Partai Kebangkitan Bangsa;KALIMANTAN TIMUR;L;
65;Dr. H. SYAMSU RIZAL M.I., S.Sos., M.Si.;Fraksi Partai Kebangkitan Bangsa;SULAWESI SELATAN I;L;
66;Drs. H. ANDI MUAWIYAH RAMLY, M.Si.;Fraksi Partai Kebangkitan Bangsa;SULAWESI SELATAN II;L;
67;JAELANI, S.IP., M.Si.;Fraksi Partai Kebangkitan Bangsa;SULAWESI TENGGARA;L;
68;INDRAJAYA, S.E.;Fraksi Partai Kebangkitan Bangsa;PAPUA;L;
69;Ir. H. T.A. KHALID, M.M.;Fraksi Partai Gerakan Indonesia Raya;ACEH II;L;
70;ADE JONA PRASETYO, S.H., M.H., M.M.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA UTARA I;L;
71;M. HUSNI, S.E., M.M.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA UTARA I;L;
72;SABAM RAJAGUKGUK;Fraksi Partai Gerakan Indonesia Raya;SUMATERA UTARA II;L;
73;H. SUGIAT SANTOSO, S.E., M.S.P.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA UTARA III;L;
74;ANDRE ROSIADE;Fraksi Partai Gerakan Indonesia Raya;SUMATERA BARAT I;L;
75;ADE REZKI PRATAMA, S.E., M.M.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA BARAT II;L;
76;MUHAMMAD RAHUL, S.H.;Fraksi Partai Gerakan Indonesia Raya;RIAU I;L;
77;MUHAMMAD ROHID, B.A. ;Fraksi Partai Gerakan Indonesia Raya;RIAU II;L;
78;ROCKY CANDRA, S.E.;Fraksi Partai Gerakan Indonesia Raya;JAMBI;L;
